major,average lecture time (one day),average num of days a week,average lecture time (one week)
Clusters (CLUSTER),73.0,2.1,153.3
Astronomy (ASTR),78.89,1.89,149.01
International Migration Studies (I M STD),170.0,1.0,170.0
Military Science (MIL SCI),117.5,1.0,117.5
Hebrew,58.33,4.0,233.33
Geography (GEOG),111.35,1.5,167.02
Linguistics (LING),104.72,1.64,171.63
Communication (COMM),98.5,1.63,160.88
Physics,86.3,2.07,178.24
Architecture and Urban Design (ARCH&UD),161.79,1.71,277.35
Chemical Engineering (CH ENGR),91.86,1.51,139.1
"Microbiology, Immunology, and Molecular Genetics (MIMG)",98.33,1.78,174.81
Molecular Toxicology (MOL TOX),50.0,1.0,50.0
Arts Education (ARTS ED),170.0,1.0,170.0
English as A Second Language (ESL),110.0,2.0,220.0
Slavic (SLAVC),85.0,1.75,148.75
Film and Television (FILM TV),170.38,1.16,198.06
Society and Genetics (SOC GEN),94.0,1.8,169.2
Asian,117.22,1.56,182.35
Information Studies (INF STD),182.5,1.08,197.71
Central and East European Studies (C&EE ST),75.0,2.0,150.0
Digital Humanities (DGT HUM),75.0,2.0,150.0
Russian (RUSSN),83.46,2.0,166.92
